session_path,n_files_matched,n_files_deleted_or_would_delete,n_errors,total_size_gb,total_size_tb,dry_run
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-29_12-59-37,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-01-30_16-31-08,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-02_08-24-52,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-03_16-02-38,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-04_13-49-07,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-05_13-18-03,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-06_11-45-33,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-10_13-02-11,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\826032\826032_2026-02-11_14-46-30,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\2025-12-01_826033,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-17_13-13-55,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-18_11-57-04,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-19_13-47-57,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-21_09-23-34,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-23_10-45-21,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-24_14-14-45,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-25_08-49-29,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-26_12-40-54,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826033\826033_2026-02-27_13-53-35,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\826034\2025-12-01_826034,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-02-13_15-22-44,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-02_10-18-42,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-03_09-22-19,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-04_08-43-07,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-05_08-11-16,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-07_11-28-35,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-08_12-21-24,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\834788\834788_2026-03-09_09-07-35,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-02-13_15-49-00,1,1,0,2.7302652597427368e-05,2.6662746677175164e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-02_12-40-55,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-03_13-49-07,1,1,0,2.7301721274852753e-05,2.666183718247339e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-04_12-54-47,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-05_10-16-37,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-07_13-21-42,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-08_14-02-23,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\838410\838410_2026-03-09_11-04-01,1,1,0,3.0483119189739227e-05,2.9768671083729714e-08,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\836173\836173_2026-02-13_16-42-29,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\iGluSnFR4f+RCaMP3\836174\836174_2026-02-13_16-17-06,0,0,0,0.0,0.0,True
\\allen\aind\scratch\ophys\Andrew\VIP_synaptic_dynamics\ASAP7\836172\836172_2026-02-23_13-56-01,0,0,0,0.0,0.0,True
